Spanish,Part of Speech,Synonyms,ShortDef,Definition,Sentences,Audio
naranja,m-f,,"<span class=""pos noun m-f f"">{f} <span class=""usage"">orange (fruit)</span></span>
<span class=""pos noun m-f m"">{m} <span class=""usage"">orange (color)</span></span>","<span class=""pos noun m-f f"">{f} <span class=""usage"">orange (fruit)</span></span>
<span class=""pos noun m-f m"">{m} <span class=""usage"">orange (color)</span></span>
<span class=""pos adj"">{adj} <span class=""usage"">orange (having orange color)</span></span>","<span class=""spa"">Las naranjas crecen en países cálidos.</span><br>
<span class=""eng"">Oranges grow in warm countries.</span><br>
<span class=""spa"">Le dimos la naranja naranja.</span><br>
<span class=""eng"">We gave her the orange orange.</span><br>
<span class=""spa"">Esta naranja está demasiado agria.</span><br>
<span class=""eng"">This orange is too sour.</span>",[sound:GCCM6QOJAVUOFYD2UAHT6XX7SYR72EIH.mp3]
interpretar,verb,,"<span class=""pos verb v""> <span class=""usage"">to interpret, explain; to interpret, translate orally</span></span>","<span class=""pos verb v""> <span class=""usage"">to interpret, explain, decipher; to interpret, translate orally</span></span>
<span class=""pos verb v""> <span class=""tag"">[theater]:</span><span class=""usage"">to act a part</span></span>
<span class=""pos verb v""> <span class=""tag"">[music]:</span><span class=""usage"">to perform</span></span>","<span class=""spa"">Me encanta interpretar a Chopin.</span><br>
<span class=""eng"">I love playing Chopin.</span><br>
<span class=""spa"">Por favor para de interpretar tu papel.</span><br>
<span class=""eng"">Please stop playing with your hat.</span><br>
<span class=""spa"">Él interpretó un rol menor en la obra.</span><br>
<span class=""eng"">He played a minor part in the play.</span>",[sound:MUEVVMTWEN3PWMTNPB2KP7OUBODUI5GU.mp3]
de vez en cuando,adv,,"<span class=""pos adv""> <span class=""tag"">[idiomatic]:</span><span class=""usage"">occasionally; once in a while</span></span>","<span class=""pos adv""> <span class=""tag"">[idiomatic]:</span><span class=""usage"">occasionally; once in a while; now and then; from time to time</span></span>","<span class=""spa"">Llámame de vez en cuando.</span><br>
<span class=""eng"">Call me now and then.</span><br>
<span class=""spa"">Incluso la gente inteligente hace estupideces de vez en cuando.</span><br>
<span class=""eng"">Even smart people sometimes do stupid things.</span><br>
<span class=""spa"">Vamos a pescar de vez en cuando.</span><br>
<span class=""eng"">We go fishing from time to time.</span>",[sound:L6Q2BF2P4SSZ5KK75NRJ26VYFSY3G4EY.mp3]
cantante,mf,,,"<span class=""pos noun mf"">{mf} <span class=""usage"">singer</span></span>
<span class=""pos adj"">{adj} <span class=""usage"">who sings, singing</span></span>","<span class=""spa"">Es un cantante que gusta a todo el mundo.</span><br>
<span class=""eng"">He's a singer that's loved by everyone.</span><br>
<span class=""spa"">Elvis Presley es uno de los cantantes más famosos.</span><br>
<span class=""eng"">Elvis Presley is one of the most famous singers.</span><br>
<span class=""spa"">Ella perdió la oportunidad de ver a la cantante famosa.</span><br>
<span class=""eng"">She missed her chance to see the famous singer.</span>",[sound:ZPTYX5CXSLTZ7E5YLVS4JJPXR36EVETB.mp3]
cartel,m,póster,,"<span class=""pos noun m""> <span class=""usage"">poster, placard, bill, banner; lineup, billing</span></span>","<span class=""spa"">El cartel dice, ""¡Peligro! 10.000 VOLTIOS.""</span><br>
<span class=""eng"">The notice says, ""Danger! 10,000 VOLTS.""</span><br>
<span class=""spa"">¿No ven el cartel de salida por ahí?</span><br>
<span class=""eng"">Don't you see the exit sign over there?</span><br>
<span class=""spa"">Había un cartel que decía, ""Prohibido pisar el césped.""</span><br>
<span class=""eng"">There was a sign saying, ""Keep off the grass.""</span>",[sound:PCLPREWIS3RY6Z7XENKXNO7YFSSBI27Z.mp3]
estrategia,f,,,"<span class=""pos noun f""> <span class=""usage"">strategy</span></span>","<span class=""spa"">La estrategia de Tom surtió efecto.</span><br>
<span class=""eng"">Tom's strategy paid off.</span><br>
<span class=""spa"">No entiendo la estrategia de Tom.</span><br>
<span class=""eng"">I don't understand Tom's strategy.</span><br>
<span class=""spa"">Hemos tenido un éxito razonable con esta estrategia.</span><br>
<span class=""eng"">We've had reasonable success with this strategy.</span>",[sound:4ZWT62TSC6XSJZLLUOXSJRPDNYOQCR4G.mp3]
molestia,f,,"<span class=""pos noun f""> <span class=""usage"">trouble, nuisance, hassle, annoyance, bother; discomfort</span></span>","<span class=""pos noun f""> <span class=""usage"">trouble, nuisance, hassle, annoyance, bother, vexation, inconvenience, pain in the ass, pain in the butt, disturbance, burden, imposition, pestering; discomfort (health-related or bodily pain)</span></span>","<span class=""spa"">Tom es una molestia para todos.</span><br>
<span class=""eng"">Tom bugs everyone.</span><br>
<span class=""spa"">El teléfono puede ser una molestia.</span><br>
<span class=""eng"">The telephone can be a nuisance.</span><br>
<span class=""spa"">Yo sólo le ahorré a Tom la molestia de tener que ir allí.</span><br>
<span class=""eng"">I just saved Tom the trouble of going there himself.</span>",[sound:KWIRMSFHWONMAEZ7QPO74BJXIZPPQEMV.mp3]
calidad,f,cualidad,,"<span class=""pos noun f""> <span class=""usage"">quality (level of excellence)</span></span>
<span class=""pos noun f louisiana only-latin-america only-louisiana only-united-states""> <span class=""tag"">[Louisiana]:</span><span class=""usage"">kind, type</span></span>","<span class=""spa"">La calidad del arroz está disminuyendo.</span><br>
<span class=""eng"">The quality of rice is going down.</span><br>
<span class=""spa"">Surgieron muchas preguntas acerca de la calidad del nuevo producto.</span><br>
<span class=""eng"">Many questions came up about the quality of the new product.</span><br>
<span class=""spa"">La calidad de sus productos ha caído con el paso de los años.</span><br>
<span class=""eng"">The quality of their products has gone down over the years.</span>",[sound:GHPXLGFV2LV3XSP7IY3GO3PZZBVXUEF6.mp3]
frecuencia,f,,,"<span class=""pos noun f""> <span class=""usage"">frequency; repetition</span></span>","<span class=""spa"">Tom no se toma vacaciones con frecuencia.</span><br>
<span class=""eng"">Tom doesn't often take vacations.</span><br>
<span class=""spa"">Con frecuencia, la metadona se prescribe como analgésico.</span><br>
<span class=""eng"">Methadone is commonly prescribed as a pain killer.</span><br>
<span class=""spa"">Mi hija venía a verme con frecuencia.</span><br>
<span class=""eng"">My daughter came to see me from time to time.</span>",[sound:QLSTGFHJ5GBUJAK5EFT275GPSKZ2XQU7.mp3]
egoísta,adj,"avaro, codicioso","<span class=""pos adj""> <span class=""usage"">egotistic (believing oneself to be superior); selfish</span></span>","<span class=""pos adj"">{adj} <span class=""usage"">egotistic (believing oneself to be superior); selfish</span></span>
<span class=""pos noun mf"">{mf} <span class=""usage"">egotist</span></span>","<span class=""spa"">Ella es fastidiosa y egoísta.</span><br>
<span class=""eng"">She's annoying and selfish.</span><br>
<span class=""spa"">Aquel hombre es un egoísta en todos los aspectos.</span><br>
<span class=""eng"">That man is an egotist through and through.</span><br>
<span class=""spa"">¿Cómo podés ser tan egoísta?</span><br>
<span class=""eng"">How can you be so selfish?</span>",[sound:TP7R4RBOLNN4TT4VA7SC3A6WAA7W7M2R.mp3]
célula,f,,"<span class=""pos noun f""> <span class=""usage"">cell (the basic unit of a living organism)</span></span>","<span class=""pos noun f""> <span class=""usage"">cell (the basic unit of a living organism); cell (a small group of people forming part of a larger organization)</span></span>","<span class=""spa"">Las células eucariotas son biológicamente superiores a las procariotas.</span><br>
<span class=""eng"">Eukaryotes are biologically superior to prokaryotes.</span><br>
<span class=""spa"">Las cremas exfoliantes eliminan las células muertas o dañadas de la piel.</span><br>
<span class=""eng"">Exfoliating creams remove dead or damaged skin cells.</span><br>
<span class=""spa"">El porcentaje de carbohidratos en las célula animal es de aproximadamente el seis por ciento.</span><br>
<span class=""eng"">The percentage of carbohydrates in animal cells is approximately 6 percent.</span>",[sound:UD37CPWT67ROAQAUD3YKRRWM525B4OIE.mp3]
duque,m/f,,,"<span class=""pos noun m_f f"">{f} <span class=""usage"">duchess</span></span>
<span class=""pos noun m_f m"">{m} <span class=""usage"">duke</span></span>","<span class=""spa"">El duque posee muchas tierras.</span><br>
<span class=""eng"">The duke holds a lot of land.</span>",[sound:PGOX3NWE7GRLPYMFWZGKID6TKNEB6L6H.mp3]
sinceramente,adv,,,"<span class=""pos adv""> <span class=""usage"">sincerely, honestly</span></span>","<span class=""spa"">Espero sinceramente que te mejores pronto.</span><br>
<span class=""eng"">I sincerely hope you'll get well soon.</span><br>
<span class=""spa"">Creo sinceramente que la imaginación humana carece de límites tangibles.</span><br>
<span class=""eng"">I strongly believe that human imagination is limitless.</span><br>
<span class=""spa"">Espero sinceramente que te recuperes pronto de tu enfermedad.</span><br>
<span class=""eng"">I sincerely hope that you will soon recover from your illness.</span>",[sound:MQ2G4WZLIX4CFWDSM435MPVZ7LZC7CEE.mp3]
raíz,f,,,"<span class=""pos noun f""> <span class=""usage"">root</span></span>","<span class=""spa"">El dinero es la raíz de todos los males.</span><br>
<span class=""eng"">Money is the root of all evil.</span><br>
<span class=""spa"">La pobreza es la raíz de todo mal.</span><br>
<span class=""eng"">Poverty is the root of all evil.</span><br>
<span class=""spa"">El amor al dinero es la raíz de todos los males.</span><br>
<span class=""eng"">Love of money is the root of all evil.</span>",[sound:ZRWMBKVZAXNFCA7D6J2W3MOCTY42YFE3.mp3]
religión,f,,,"<span class=""pos noun f""> <span class=""usage"">religion</span></span>","<span class=""spa"">La religión era muy importante en la Edad Media.</span><br>
<span class=""eng"">Religion was very important in the Middle Ages.</span><br>
<span class=""spa"">Las tres grandes religiones monoteístas son el cristianismo, el islam y el judaísmo.</span><br>
<span class=""eng"">The three big monotheistic religions are Christianity, Islam and Judaism.</span><br>
<span class=""spa"">Las tres religiones monoteístas principales son el cristianismo, el Islam y el judaísmo.</span><br>
<span class=""eng"">The three major monotheistic religions are Christianity, Islam and Judaism.</span>",[sound:GS2Z6X3OZDP4SP7BXSXTBWC5C7DOFTXX.mp3]
campana,f,timbre,"<span class=""pos noun f""> <span class=""usage"">bell; a bell-shaped</span></span>","<span class=""pos noun f""> <span class=""usage"">bell; a bell-shaped (or roughly) object or component (such as the canopy of a parachute); hood (device to suck away smokes and fumes); extractor hood; cloche, tableware cover, usually metalic</span></span>","<span class=""spa"">Las campanas de la iglesia están sonando.</span><br>
<span class=""eng"">The church bells are ringing.</span><br>
<span class=""spa"">Oímos las campanas de la iglesia.</span><br>
<span class=""eng"">We heard the church bells.</span><br>
<span class=""spa"">¿Fuiste tú el que hizo sonar la campana?</span><br>
<span class=""eng"">Were you the one who rung the bell?</span>",[sound:TEQWEZO4WGB7BMWL2TN6IOZDNERIFGKA.mp3]
probado,adj,,,"<span class=""pos adj""> <span class=""usage"">proven, tried</span></span>","<span class=""spa"">No hemos probado el medicamento en humanos aún.</span><br>
<span class=""eng"">We haven't tried the drug out on humans yet.</span><br>
<span class=""spa"">Debería haber probado esta máquina de afeitar antes de comprarla.</span><br>
<span class=""eng"">I should have tried out this electric razor before buying it.</span><br>
<span class=""spa"">Es una teoría intrigante, pero no veo como podría ser probada.</span><br>
<span class=""eng"">It's an intriguing theory, but I don't see how it can be tested.</span>",[sound:4YCCQS35YC63HZTANFUSKSCRXKC6JSDV.mp3]
acceder,verb,,,"<span class=""pos verb v""> <span class=""usage"">to accede, agree, concur; to access</span></span>","<span class=""spa"">Tom accedió a aceptar la oferta de María.</span><br>
<span class=""eng"">Tom agreed to accept Mary's offer.</span><br>
<span class=""spa"">Ella me autorizó a acceder a sus registros.</span><br>
<span class=""eng"">She gave me access to her records.</span><br>
<span class=""spa"">Parece que Tom no puede acceder a sus datos.</span><br>
<span class=""eng"">Tom can't seem to access his data.</span>",[sound:DJKEKF3J3AMJNOOVFKH2VDYQZPAVRKQQ.mp3]
cueva,f,,,"<span class=""pos noun f""> <span class=""usage"">cave; basement, cellar</span></span>","<span class=""spa"">Los exploradores descubrieron un esqueleto en la cueva.</span><br>
<span class=""eng"">The explorers discovered a skeleton in the cave.</span><br>
<span class=""spa"">Tom sabía lo que había oculto en la cueva.</span><br>
<span class=""eng"">Tom knew what was hidden in the cave.</span><br>
<span class=""spa"">¿Por qué alguien escondería algo así dentro de esta cueva?</span><br>
<span class=""eng"">Why would anyone hide something like that inside this cave?</span>",[sound:RQ6UIHKMWK3N2CZU25WSOTBWSUDANRMZ.mp3]
reparar,verb,,"<span class=""pos verb vt"">{vt} <span class=""usage"">to repair</span></span>
<span class=""pos verb vi"">{vi} <span class=""usage"">to notice, realize, become aware</span></span>","<span class=""pos verb vt"">{vt} <span class=""usage"">to repair</span></span>
<span class=""pos verb vi"">{vi} <span class=""usage"">to notice, realize, become aware; to stop (make a halt)</span></span>","<span class=""spa"">Él repara su propio coche.</span><br>
<span class=""eng"">He repairs his own car.</span><br>
<span class=""spa"">¿Puede reparar el pinchazo ahora?</span><br>
<span class=""eng"">Can you fix the flat tire now?</span><br>
<span class=""spa"">Me tomó varias horas repararlo.</span><br>
<span class=""eng"">It took me several hours to repair it.</span>",[sound:OH2JZDBZZVN6LK7D25NKV5SLPWIMENB2.mp3]
analizar,verb,,,"<span class=""pos verb vt"">{vt} <span class=""usage"">to analyze (to subject to analysis)</span></span>","<span class=""spa"">Aún estamos analizando los datos restantes.</span><br>
<span class=""eng"">We're still analyzing the remaining data.</span><br>
<span class=""spa"">Analicemos el problema y veamos si podemos llegar a una solución.</span><br>
<span class=""eng"">Let's discuss the problem and see if we can come up with a solution.</span><br>
<span class=""spa"">El consejo se ha reunido para analizar la recalendarización.</span><br>
<span class=""eng"">The council held a meeting to analyse the rescheduling.</span>",[sound:AQHJBDQP6DVP7VQA7TEAFZK7ZLU7AYPJ.mp3]
doblar,verb,plegar,"<span class=""pos verb vt"">{vt} <span class=""usage"">to fold; to double</span></span>","<span class=""pos verb vt"">{vt} <span class=""usage"">to fold; to double; to dub</span></span>
<span class=""pos verb vit"">{vit} <span class=""usage"">to bend, turn</span></span>","<span class=""spa"">Ella dobló cuidadosamente su pañuelo.</span><br>
<span class=""eng"">She folded her handkerchief neatly.</span><br>
<span class=""spa"">El bus dobló en la esquina.</span><br>
<span class=""eng"">The bus turned around the corner.</span><br>
<span class=""spa"">Al doblar la esquina nos encontramos con el desfile.</span><br>
<span class=""eng"">We came upon the parade when we turned the corner.</span>",[sound:5T6VCMTO3NHWEZADO5CITEGOR26HINJI.mp3]
escándalo,m,,,"<span class=""pos noun m""> <span class=""usage"">scandal</span></span>","<span class=""spa"">Para de armar un escándalo.</span><br>
<span class=""eng"">Stop making a fuss.</span><br>
<span class=""spa"">El escándalo casi le arruinó la carrera.</span><br>
<span class=""eng"">The scandal nearly wrecked her career.</span><br>
<span class=""spa"">Él admite estar implicado en el escándalo.</span><br>
<span class=""eng"">He admits being involved in the scandal.</span>",[sound:PJW4LNT3EOT4VJMABJAUCDELBYRGGFSC.mp3]
presentación,f,,,"<span class=""pos noun f""> <span class=""usage"">presentation</span></span>","<span class=""spa"">No tuve suficiente tiempo para terminar mi presentación</span><br>
<span class=""eng"">I didn't have enough time to finish my presentation.</span><br>
<span class=""spa"">Existen muchas aplicaciones informáticas para hacer presentaciones multimedia.</span><br>
<span class=""eng"">A lot of software is available for making multimedia presentations.</span><br>
<span class=""spa"">He estado toda la noche levantado tratando de terminar la presentación.</span><br>
<span class=""eng"">I had been up all night trying to finish the presentation.</span>",[sound:PFZAB3YMVLZAAYRY7IZGZ4UE6X3RKHXW.mp3]
oculto,adj,,,"<span class=""pos adj""> <span class=""usage"">hidden, secret; occult</span></span>","<span class=""spa"">Tom sabía lo que había oculto en la cueva.</span><br>
<span class=""eng"">Tom knew what was hidden in the cave.</span><br>
<span class=""spa"">Sigue siendo un misterio dónde está oculto el tesoro.</span><br>
<span class=""eng"">Where the treasure is hidden is still a mystery.</span><br>
<span class=""spa"">Si me enseñas a bailar, te mostraré mis cicatrices ocultas.</span><br>
<span class=""eng"">If you teach me how to dance, I will show you my hidden scars.</span>",[sound:LHV6I4GEIMEJ6DW5HG5AM6K4OAHM5SS2.mp3]
timar,verb,estafar,"<span class=""pos verb v only-spain spain""> <span class=""tag"">[Spain]:</span><span class=""usage"">to hustle, con, hoodwink, swindle; to cheat, rip off</span></span>","<span class=""pos verb v only-spain spain""> <span class=""tag"">[Spain]:</span><span class=""usage"">to hustle, con, hoodwink, swindle, scam, grift, trick, diddle; to cheat, rip off, chisel, rook, goldbrick</span></span>","<span class=""spa"">Timar al timador es placer doble.</span><br>
<span class=""eng"">It's double pleasure to deceive the deceiver.</span><br>
<span class=""spa"">¡Ella me timó todo mi dinero!</span><br>
<span class=""eng"">She gypped me out of my money!</span>",[sound:DEYDR6XWF2ZWYDXKRLMGP6H2ECSO7VX3.mp3]
tigre,m/f,,"<span class=""pos noun m_f f"">{f} <span class=""usage"">tigress (female tiger)</span></span>
<span class=""pos noun m_f m"">{m} <span class=""usage"">tiger</span></span>","<span class=""pos noun m_f f"">{f} <span class=""usage"">tigress (female tiger)</span></span>
<span class=""pos noun m_f m"">{m} <span class=""usage"">tiger; angry or fierce person; an energic or expert male lover</span></span>
<span class=""pos noun m_f m latin-america only-latin-america only-latin-america""> <span class=""tag"">[Latin America]:</span><span class=""usage"">jaguar</span></span>","<span class=""spa"">Los gatos están emparentados con los tigres.</span><br>
<span class=""eng"">Cats are related to tigers.</span><br>
<span class=""spa"">Escuchamos tigres rugiendo a lo lejos.</span><br>
<span class=""eng"">We heard tigers roaring in the distance.</span><br>
<span class=""spa"">A medida que los tigres se acercaban, nos preguntamos a quién se comerían primero.</span><br>
<span class=""eng"">As the tigers approached, we wondered who would be eaten first.</span>",[sound:53EVA3GDOJSRXUOMDXHG5NXCSAL4TM5F.mp3]
influencia,f,,,"<span class=""pos noun f""> <span class=""usage"">influence; leverage</span></span>","<span class=""spa"">Sé quién está usando sus influencias.</span><br>
<span class=""eng"">I know who's pulling the strings.</span><br>
<span class=""spa"">La influencia de la ciencia en la sociedad es grande.</span><br>
<span class=""eng"">The impact of science on society is great.</span><br>
<span class=""spa"">Tom piensa que María es una mala influencia para John.</span><br>
<span class=""eng"">Tom thinks Mary has a bad influence on John.</span>",[sound:HFHMNMTFTHRZGN7V5CUAZ6PVCAUGOIH5.mp3]
liga,f,,"<span class=""pos noun f""> <span class=""tag"">[politics, general]:</span><span class=""usage"">league</span></span>
<span class=""pos noun f""> <span class=""usage"">band</span></span>","<span class=""pos noun f""> <span class=""tag"">[politics, general]:</span><span class=""usage"">league</span></span>
<span class=""pos noun f""> <span class=""usage"">band; suspender (UK), garter (US); mistletoe; elastic band</span></span>
<span class=""pos noun f""> <span class=""tag"">[metallurgy]:</span><span class=""usage"">alloy, mixture</span></span>","<span class=""spa"">Él ahora está en las grandes ligas.</span><br>
<span class=""eng"">He's in the big leagues now.</span><br>
<span class=""spa"">Ulster tiene el menor número de derrotas que cualquier boxeador en la liga.</span><br>
<span class=""eng"">Ulster has the fewest losses of any boxer in the league.</span>",[sound:Q4VL5OGM452ARVC4WXLSY77GRW6JP4MC.mp3]
partida,f,,"<span class=""pos noun f""> <span class=""usage"">departure; match, lot</span></span>","<span class=""pos noun f""> <span class=""usage"">departure; match, lot; game (of cards etc.); passing (death); certificate</span></span>","<span class=""spa"">Ellos estaban jugando una partida de damas.</span><br>
<span class=""eng"">They were playing a game of checkers.</span><br>
<span class=""spa"">Tom desafió a Mary a una partida de ajedrez.</span><br>
<span class=""eng"">Tom challenged Mary to a game of chess.</span><br>
<span class=""spa"">Tom fue lo suficientemente estúpido para desafiar a María a una partida de ajedrez.</span><br>
<span class=""eng"">Tom was stupid enough to challenge Mary to a game of chess.</span>",[sound:I4QCT6SBVQX2V3PGFN7EDIU2ITPURBHI.mp3]
satisfecho,adj,,,"<span class=""pos adj""> <span class=""usage"">satisfied</span></span>","<span class=""spa"">¿Estás satisfecho con mi explicación?</span><br>
<span class=""eng"">Are you satisfied with my explanation?</span><br>
<span class=""spa"">¿Está satisfecho con el resultado?</span><br>
<span class=""eng"">Are you satisfied with the result?</span><br>
<span class=""spa"">Mis padres quedaron satisfechos con mis notas de este año.</span><br>
<span class=""eng"">My parents were satisfied with my grades this year.</span>",[sound:I44HA5NXB6ZGKIV4NGREXZKMW3G7ZRFB.mp3]
viudo,m/f,,"<span class=""pos noun m_f f"">{f} <span class=""usage"">widow</span></span>
<span class=""pos noun m_f m"">{m} <span class=""usage"">widower, widow</span></span>","<span class=""pos noun m_f f"">{f} <span class=""usage"">widow; dowager</span></span>
<span class=""pos noun m_f m"">{m} <span class=""usage"">widower, widow</span></span>
<span class=""pos noun m_f m""> <span class=""tag"">[plant]:</span><span class=""usage"">Sixalix atropurpurea, syn. Scabiosa atropurpurea (mourning bride, mourning widow, sweet scabious)</span></span>
<span class=""pos adj"">{adj} <span class=""usage"">widowed; dowager [in the feminine]</span></span>","<span class=""spa"">Tomás se casó con una viuda rica.</span><br>
<span class=""eng"">Tom married a rich widow.</span><br>
<span class=""spa"">Él deja a una viuda y a una hija.</span><br>
<span class=""eng"">He leaves a widow and a daughter.</span><br>
<span class=""spa"">En el funeral, la viuda lucía muy dignificada con su traje, sombrero, y guantes negros.</span><br>
<span class=""eng"">At the funeral, the widow looked very dignified, with her black suit, hat and gloves.</span>",[sound:IV7GQSDVFWRXVWRPYXRJMFCRENFPUFVY.mp3]
sorprendente,adj,,,"<span class=""pos adj""> <span class=""usage"">surprising</span></span>","<span class=""spa"">Esto no es para nada sorprendente.</span><br>
<span class=""eng"">This isn't at all surprising.</span><br>
<span class=""spa"">Había un parecido sorprendente entre ellos.</span><br>
<span class=""eng"">There was a striking resemblance between them.</span><br>
<span class=""spa"">Es sorprendente que no hayas oído nada acerca de su boda.</span><br>
<span class=""eng"">It's surprising that you haven't heard anything about her wedding.</span>",[sound:KDHOBONEHG5AZEO5HZ6NEU665DSOGR5J.mp3]
disfraz,m,,,"<span class=""pos noun m""> <span class=""usage"">disguise; costume</span></span>","<span class=""spa"">¿Dónde puedo alquilar un disfraz?</span><br>
<span class=""eng"">Where can I rent a costume?</span><br>
<span class=""spa"">Hubo muchos que no lo pudieron reconocer con ese disfraz.</span><br>
<span class=""eng"">There were many who couldn't recognize him in that disguise.</span><br>
<span class=""spa"">¿Qué clase de disfraz tienes planeando llevar para la fiesta de Halloween?</span><br>
<span class=""eng"">What kind of costume are you planning on wearing to the Halloween party?</span>",[sound:O5CKN7AP7TKV3QRFZGENSRTQVQZHQGAZ.mp3]
expresión,f,,,"<span class=""pos noun f""> <span class=""usage"">expression</span></span>","<span class=""spa"">La libertad de expresión fue firmemente restringida.</span><br>
<span class=""eng"">Freedom of speech was tightly restricted.</span><br>
<span class=""spa"">Tom tenía una expresión de susto en la cara.</span><br>
<span class=""eng"">Tom had a scared look on his face.</span><br>
<span class=""spa"">Tienes el derecho a la libertad de expresión, pero no el derecho a difamar.</span><br>
<span class=""eng"">You have the right to free speech, but not the right to slander.</span>",[sound:MSAEXQY6WZ2BXTKXSVDTC55BHU4EMW6W.mp3]
gusano,m,"lombriz, larva, oruga","<span class=""pos noun m""> <span class=""usage"">worm; insect larva, such as a grub, caterpillar, or maggot</span></span>","<span class=""pos noun m""> <span class=""usage"">worm; insect larva, such as a grub, caterpillar, or maggot</span></span>
<span class=""pos noun m""> <span class=""tag"">[Chicano, derogatory]:</span><span class=""usage"">Hispanicized Mexican</span></span>
<span class=""pos noun m cuba only-caribbean only-cuba only-latin-america""> <span class=""tag"">[Cuba, derogatory]:</span><span class=""usage"">Cuban reactionary or counter-revolutionary</span></span>","<span class=""spa"">Los gusanos de seda tejen capullos.</span><br>
<span class=""eng"">Silkworms spin cocoons.</span><br>
<span class=""spa"">Oí que un hombre paralizado fue devorado vivo por gusanos.</span><br>
<span class=""eng"">I heard that a paralyzed man was eaten alive by maggots.</span><br>
<span class=""spa"">Me comí media manzana antes de darme cuenta de que había un gusano dentro.</span><br>
<span class=""eng"">I ate half the apple before I noticed there was a worm in it.</span>",[sound:EA5G7MUVTX6VWZBI5Z76PQOZR4HKD6GW.mp3]
sirviente,mf,criado,,"<span class=""pos noun mf""> <span class=""usage"">servant</span></span>","<span class=""spa"">El sirviente barrió el suelo.</span><br>
<span class=""eng"">The servant swept the floor.</span><br>
<span class=""spa"">¿Has contratado alguna vez a una sirvienta?</span><br>
<span class=""eng"">Have you ever hired a maid?</span><br>
<span class=""spa"">Tom trataba a Mary como a una sirvienta.</span><br>
<span class=""eng"">Tom treated Mary like a maid.</span>",[sound:CMYHNGPLRZ4GCV5JKISVTDTTMX3OAR4T.mp3]
pozo,m,,"<span class=""pos noun m""> <span class=""usage"">well</span></span>","<span class=""pos noun m""> <span class=""usage"">well; hole in the ground as a source of water or other fluids</span></span>","<span class=""spa"">El gato está en el pozo.</span><br>
<span class=""eng"">The cat is in the well.</span><br>
<span class=""spa"">El dinero está en el pozo.</span><br>
<span class=""eng"">The money is in the well.</span><br>
<span class=""spa"">¡Este pozo de petróleo me va a hacer rico!</span><br>
<span class=""eng"">This oil well is going to make me rich.</span>",[sound:EV6MOJJUVRXB5A6IOWKWHU4MWQMFZOJC.mp3]
texto,m,,,"<span class=""pos noun m""> <span class=""usage"">text</span></span>
<span class=""pos noun m""> <span class=""tag"">[colloquial]:</span><span class=""usage"">text message</span></span>","<span class=""spa"">Acabo de recibir mis libros de texto para este semestre.</span><br>
<span class=""eng"">I just got my textbooks for this semester.</span><br>
<span class=""spa"">Leé el texto con atención, después respondé las preguntas.</span><br>
<span class=""eng"">Read the text carefully, then answer the questions.</span><br>
<span class=""spa"">Tom y Mary intercambian más de 200 textos cada día.</span><br>
<span class=""eng"">Tom and Mary exchange more than 200 text messages every day.</span>",[sound:UZGYIYOVJGSXXB2VXVR7OJSCRRJCZZX2.mp3]
pluma,f,bolígrafo,"<span class=""pos noun f""> <span class=""usage"">feather; pen, fountain pen</span></span>","<span class=""pos noun f""> <span class=""usage"">feather; pen, fountain pen; quill</span></span>
<span class=""pos noun f mexico only-latin-america only-mexico""> <span class=""tag"">[Mexico, US Spanish]:</span><span class=""usage"">ballpoint pen</span></span>
<span class=""pos noun f""> <span class=""tag"">[figurative]:</span><span class=""usage"">writer, penman</span></span>","<span class=""spa"">Mi chaqueta de plumas me mantiene bastante calentito.</span><br>
<span class=""eng"">My down jacket keeps me quite warm.</span><br>
<span class=""spa"">El pájaro estaba cubierto de plumas blancas.</span><br>
<span class=""eng"">The bird was covered with white feathers.</span><br>
<span class=""spa"">El pavo real macho tiene coloridas plumas en la cola.</span><br>
<span class=""eng"">The male peacock has colorful tail feathers.</span>",[sound:4TC5RWTM6TEPLLAXITI2AJ3EVSWNHHC4.mp3]
sed,f,,,"<span class=""pos noun f""> <span class=""usage"">thirst</span></span>","<span class=""spa"">Ellos apaciguaron su sed en el manantial.</span><br>
<span class=""eng"">They satisfied their thirst at the spring.</span><br>
<span class=""spa"">Toma si tienes sed y come si tienes hambre.</span><br>
<span class=""eng"">Drink if you're thirsty and eat if you're hungry.</span><br>
<span class=""spa"">No sólo estamos hambrientos, sino que también sufrimos por la sed.</span><br>
<span class=""eng"">Not only were we hungry, but we were also suffering from thirst.</span>",[sound:ODS3PZJXKACMZNNQ4QGFZFGDQWDUNBXC.mp3]
avergonzado,adj,,,"<span class=""pos adj""> <span class=""usage"">embarrassed; ashamed</span></span>","<span class=""spa"">Era evidente que estaba avergonzado.</span><br>
<span class=""eng"">He was clearly embarrassed.</span><br>
<span class=""spa"">Tom está avergonzado por lo que hizo.</span><br>
<span class=""eng"">Tom is embarrassed by what he did.</span><br>
<span class=""spa"">El chico tímido estaba totalmente avergonzado en su presencia.</span><br>
<span class=""eng"">The shy boy was utterly embarrassed in her presence.</span>",[sound:EPCGNKH3D4XY45OQDTWIMWTA5PX5QT7H.mp3]
